"","Pref","West","Age_c","Union","Abi","Job","pol_interest","DemoHappy","Religion_cath","Religion_rest"
"1",0,1,-28.5112743,0,1,1,1,0,0,0
"2",0,1,-8.5112743,0,1,1,1,1,0,0
"3",0,1,24.4887257,0,0,1,1,1,0,0
"4",1,1,-20.5112743,0,0,1,1,1,0,0
"5",0,1,-27.5112743,0,0,0,1,1,0,1
"6",0,1,3.4887252,1,0,1,1,1,0,1
"7",1,1,-11.5112743,0,0,1,1,1,0,0
"8",1,1,-22.5112743,0,0,1,1,0,0,0
"9",1,1,15.4887257,0,0,1,1,1,0,0
"10",1,1,-14.5112743,0,0,1,1,1,0,1
"11",1,1,-19.5112743,0,1,1,0,0,0,1
"12",0,1,-5.5112748,0,1,1,1,0,0,1
"13",1,1,-4.5112748,0,0,1,1,1,0,1
"14",1,1,-18.5112743,0,0,1,0,0,0,0
"15",1,1,1.4887253,0,0,1,0,0,0,0
"16",0,1,8.4887257,0,0,1,0,1,0,0
"17",0,1,23.4887257,0,0,1,0,1,1,0
"18",1,1,28.4887257,0,0,1,1,0,0,0
"19",0,1,-14.5112743,0,0,1,0,1,0,0
"20",1,1,4.4887252,1,0,1,0,1,0,1
"21",1,1,-4.5112748,1,0,1,1,1,1,0
"22",0,1,11.4887257,0,0,1,1,0,0,0
"23",0,1,3.4887252,0,1,1,1,0,0,1
"24",1,1,-26.5112743,0,0,0,1,1,0,0
"25",0,1,15.4887257,0,0,1,1,0,0,0
"26",1,1,15.4887257,0,0,1,1,1,0,0
"27",1,1,20.4887257,0,0,1,1,0,0,0
"28",1,1,-0.5112748,0,0,1,1,1,0,0
"29",1,1,21.4887257,1,0,1,0,1,0,0
"30",0,1,15.4887257,1,0,1,0,0,0,0
"31",0,1,-28.5112743,0,1,1,1,1,0,0
"32",1,1,14.4887257,0,0,1,1,0,0,0
"33",1,1,-6.5112748,0,1,1,1,1,0,1
"34",1,1,35.4887238,0,0,1,1,0,0,0
"35",0,1,14.4887257,0,0,1,1,0,1,0
"36",0,1,26.4887257,0,0,1,1,0,0,0
"37",1,1,-4.5112748,0,0,1,1,1,0,1
"38",1,1,-0.5112748,0,0,1,1,0,0,0
"39",0,1,24.4887257,0,0,1,1,0,0,0
"40",1,1,-21.5112743,1,0,1,1,0,0,0
"41",1,1,-21.5112743,0,0,1,1,0,1,0
"42",1,1,-24.5112743,0,1,1,0,1,0,0
"43",0,1,-13.5112743,0,0,1,1,1,1,0
"44",1,1,-20.5112743,0,1,1,1,0,0,0
"45",1,1,-1.5112747,1,0,1,1,0,0,0
"46",1,1,23.4887257,0,0,1,1,0,0,0
"47",1,1,14.4887257,0,0,1,1,0,0,0
"48",1,1,-4.5112748,1,0,1,1,1,0,0
"49",1,1,-15.5112743,1,0,1,1,0,0,0
"50",1,1,10.4887257,0,0,0,1,1,1,0
"51",1,1,-27.5112743,0,1,1,1,1,0,0
"52",0,1,-29.5112743,0,1,1,0,1,1,0
"53",0,1,-29.5112743,0,1,1,0,0,1,0
"54",1,1,19.4887257,0,0,1,1,1,0,1
"55",0,1,20.4887257,0,1,1,1,0,0,1
"56",0,1,-32.5112762,0,0,1,1,0,1,0
"57",1,1,-10.5112743,0,0,1,1,0,0,1
"58",1,1,0.4887253,0,0,1,1,1,0,1
"59",0,1,29.4887257,0,1,1,1,1,0,1
"60",0,1,-22.5112743,0,1,1,0,0,0,0
"61",1,1,13.4887257,0,0,1,1,1,1,0
"62",0,1,-23.5112743,0,0,1,0,0,1,0
"63",0,1,28.4887257,1,0,1,1,0,0,1
"64",1,1,18.4887257,0,0,1,1,0,0,0
"65",0,1,31.4887257,0,0,1,1,0,0,1
"66",1,1,-9.5112743,0,1,1,1,0,0,1
"67",0,1,-2.5112748,0,1,1,0,0,0,0
"68",0,1,-6.5112748,0,0,1,1,0,0,1
"69",1,1,6.4887252,0,0,1,1,1,1,0
"70",0,1,-3.5112748,1,0,0,1,1,0,0
"71",1,1,8.4887257,1,1,1,0,0,0,1
"72",1,1,2.4887252,1,0,1,1,1,1,0
"73",1,1,7.4887252,0,0,1,0,0,0,0
"74",1,1,-5.5112748,0,0,1,1,1,1,0
"75",1,1,11.4887257,0,0,1,1,0,0,0
"76",1,1,25.4887257,0,0,1,1,0,0,0
"77",1,1,35.4887238,0,0,1,1,0,1,0
"78",1,1,-8.5112743,0,0,1,1,1,1,0
"79",1,1,5.4887252,1,0,1,1,0,0,0
"80",1,1,9.4887257,0,0,1,1,0,0,0
"81",0,1,13.4887257,0,0,1,1,0,1,0
"82",0,1,11.4887257,0,0,1,0,0,1,0
"83",1,1,19.4887257,1,0,1,1,1,1,0
"84",1,1,20.4887257,0,0,1,1,1,1,0
"85",0,1,20.4887257,0,0,1,1,0,0,0
"86",1,1,6.4887252,0,0,1,1,0,0,0
"87",0,1,-11.5112743,0,0,1,1,1,1,0
"88",0,1,-24.5112743,0,0,1,1,0,1,0
"89",0,1,-10.5112743,0,1,1,1,1,0,0
"90",1,1,-11.5112743,1,1,1,0,0,1,0
"91",1,1,-2.5112748,1,1,1,0,1,1,0
"92",1,1,10.4887257,1,0,1,1,0,0,0
"93",1,1,-10.5112743,0,0,1,1,1,0,0
"94",0,1,11.4887257,0,0,1,1,0,1,0
"95",0,1,5.4887252,0,0,1,1,0,1,0
"96",0,1,7.4887252,0,0,1,1,0,1,0
"97",0,1,13.4887257,0,0,1,1,0,1,0
"98",0,1,-16.5112743,0,1,1,0,0,0,0
"99",1,1,12.4887257,0,0,1,0,0,1,0
"100",0,1,9.4887257,0,0,0,1,1,0,0
"101",0,1,-4.5112748,0,1,1,1,0,0,0
"102",1,1,12.4887257,0,0,1,1,1,1,0
"103",0,1,6.4887252,0,0,0,1,1,1,0
"104",1,1,32.4887238,0,0,1,1,0,1,0
"105",0,1,31.4887257,0,0,1,1,0,1,0
"106",1,1,27.4887257,0,0,1,1,0,0,0
"107",1,1,28.4887257,0,0,1,1,0,0,0
"108",1,1,23.4887257,0,0,1,1,0,0,0
"109",0,1,24.4887257,0,0,1,1,0,0,0
"110",1,1,38.4887238,0,0,1,1,0,1,0
"111",1,1,-22.5112743,0,0,1,1,0,0,1
"112",1,1,-11.5112743,1,0,1,1,1,1,0
"113",1,1,-11.5112743,0,0,1,1,1,0,0
