"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
2039 196 34 5.9 1 0 1 0
957 163 36 3 1 1 1 0
2088 182 37 2.6 0 0 1 0
5966 184 38 3.1 1 0 1 0
2307 170 61 23.7 0 1 1 0
2044 173 44 23.3 1 1 1 0
2353 187 47 10 1 0 1 0
1966 193 22 1 0 0 1 0
1048 158 52 3 1 1 1 0
1553 171 47 20.6 1 1 1 0
2312 190 29 9 1 0 1 0
2056 157 49 16.2 1 1 1 0
1747 167 32 1.8 0 1 1 1
602 164 54 9.8 1 1 1 0
3305 192 33 2.8 1 0 1 1
1438 151 27 2.1 1 1 0 0
973 165 32 1.2 1 1 1 0
2013 183 41 17.5 1 0 1 0
3376 180 42 1.6 1 0 1 0
3363 170 37 0.1 1 0 1 1
3567 181 41 1 1 0 1 0
4798 188 41 23 1 0 1 0
2032 180 30 1.8 0 0 1 0
1910 164 39 15.9 0 1 0 0
1035 165 27 0.9 0 1 0 0
1020 164 53 34 1 1 1 0
1817 158 30 7.6 1 1 1 0
1699 183 42 3.7 1 0 1 1
3001 180 44 1.8 1 0 1 0
1596 157 38 16.3 1 1 1 0
1957 163 36 4.8 0 1 1 0
1980 155 26 1.8 0 1 1 0
2329 178 35 14 0 0 1 1
3944 187 44 8.9 0 0 1 1
2568 166 36 14.2 1 0 0 0
1699 172 52 22.8 1 0 1 0
1818 173 36 16.7 0 1 1 0
2711 180 29 6 1 1 1 1
4545 182 36 4 1 0 1 1
7341 185 46 10.4 1 0 1 0
2826 177 47 13.9 1 0 1 0
2498 187 50 22 1 0 1 0
2021 160 41 3.6 0 1 1 1
3965 185 34 2.7 0 0 1 1
1834 166 41 7.3 1 1 0 0
1459 160 46 3.2 1 1 1 1
4606 172 34 4.4 0 0 1 1
3014 177 36 6.8 1 0 1 1
784 164 49 0.5 0 1 1 1
1365 170 27 1.2 0 0 1 0
2096 170 42 3.1 1 0 1 0
1498 165 41 3.9 0 1 1 0
3995 185 50 17.3 1 0 1 0
1847 188 45 1.2 0 0 1 0
924 165 47 6.3 1 1 1 0
1064 150 54 10.8 1 1 0 0
3281 170 30 7.4 1 0 1 1
1828 186 33 11.7 1 0 1 0
2647 180 31 2.3 1 0 1 0
1626 172 60 11.3 1 0 1 1
2399 170 23 2 0 0 1 0
2269 160 44 7.9 0 1 1 1
1619 168 39 11.7 1 0 1 0
3025 183 35 10.9 1 0 1 1
1005 162 36 10.2 1 1 0 0
4601 178 47 12 1 0 1 1
2161 160 25 1.4 0 1 1 0
3381 174 46 7.9 1 0 1 0
3681 166 52 28.4 1 1 1 1
1834 172 41 1.6 1 0 1 0
2243 180 25 1.1 0 1 0 1
1625 173 26 3.9 0 0 0 0
1417 160 50 30 1 1 1 0
3162 179 48 16.3 1 0 1 0
2337 176 40 1.5 0 1 1 0
1979 180 24 3.7 0 0 1 0
1740 187 37 10.2 1 0 1 0
3403 180 47 10.3 1 0 1 0
3993 175 40 1.4 1 0 1 1
2517 182 28 1.6 0 0 1 0
2662 169 32 11 1 1 1 0
5838 172 51 6.4 0 0 1 0
7546 179 43 5.3 1 0 1 1
3740 182 50 25 0 0 1 1
2430 174 35 15 0 0 1 0
1506 170 49 8.1 1 1 0 0
2069 175 31 2.6 0 0 1 0
1719 162 34 9.4 0 1 1 0
2390 178 46 26.6 1 1 1 0
2995 178 35 10.8 1 0 1 0
4645 178 45 2.8 1 0 1 1
778 168 37 9.1 0 1 1 0
3918 180 32 13.4 1 0 1 0
1660 172 45 2.2 1 1 0 0
1762 168 31 4.6 0 0 1 1
1545 164 46 10 1 1 1 0
2397 156 46 15.1 0 1 0 0
3335 172 42 1.8 1 1 1 0
2706 175 38 15.5 0 1 1 1
2508 178 30 2 1 0 1 0
1643 180 32 7.8 0 0 1 1
2703 172 38 15.5 0 0 1 0
7261 186 45 25.3 1 0 1 1
2551 162 46 9 1 1 1 0
4269 175 35 2 0 0 1 1
2085 172 42 2.8 1 1 1 1
2121 180 45 0.6 1 0 1 0
2748 170 32 2.7 0 1 1 1
1621 162 60 13 1 1 1 0
1119 168 51 28.3 1 1 1 0
1113 165 31 8.3 0 1 1 0
2696 172 46 10 1 0 1 0
3882 170 36 12.3 1 0 0 0
1378 160 42 7 1 1 0 1
3558 181 59 10.8 1 0 1 1
2281 164 38 20 1 1 1 0
2967 170 29 3.4 0 1 1 1
1752 188 38 1.3 1 0 1 0
1069 162 43 0.7 0 1 1 0
3912 175 36 2.4 1 1 1 1
2095 175 24 4.7 1 0 0 0
1220 180 41 9 1 0 1 0
3431 184 38 3.4 0 1 1 0
2936 193 35 9.7 0 0 1 0
2965 170 40 11.8 1 1 1 0
2047 170 35 9.7 1 0 1 0
3242 180 39 2.4 1 0 1 1
1132 165 38 2.7 1 1 1 0
988 157 45 2.3 1 1 1 0
1779 166 43 2.7 0 1 1 1
974 170 39 5.3 1 1 1 1
1380 180 47 1.8 1 0 1 0
2272 162 46 27 1 1 1 0
2448 160 50 29.6 1 1 1 1
1189 178 58 7.4 1 0 1 0
639 178 29 0.8 0 1 1 0
1530 172 30 4.6 0 0 0 0
3445 183 29 7.8 0 0 0 0
645 162 41 1.8 1 1 1 0
2079 180 31 3.8 1 0 1 1
2213 168 59 41 1 0 1 0
1419 176 24 0.2 0 0 0 0
979 172 40 10.3 1 1 1 0
2153 174 28 2 1 0 1 0
1885 173 45 24.3 1 0 1 0
858 172 37 0.8 1 1 1 0
1898 166 40 13 1 1 1 0
6060 190 33 5.7 1 0 1 0
2464 172 42 9.7 1 0 1 0
1138 180 28 0.6 0 0 1 1
1972 180 39 9.7 1 0 1 0
1832 160 32 11.8 0 1 1 0
1903 165 50 8.3 1 1 1 0
954 164 43 5.4 1 1 1 0
5339 180 54 28.8 1 0 1 1
1229 160 55 12.4 1 1 1 1
513 150 56 13.4 1 1 1 0
1547 160 27 8 1 1 1 0
4041 164 48 9.3 0 1 1 1
2639 171 42 17.8 1 0 1 0
827 166 52 2.2 1 1 1 0
